train_range,test_range,test_total_profit_pct,best_params
20240823-20241121,20241121-20241221,0.79,"{""params"": {""adx_period"": 13, ""adx_threshold"": 30, ""atr_period"": 16, ""bb_period"": 16, ""bb_std"": 2.029, ""macd_fast"": 11, ""macd_signal"": 8, ""macd_slow"": 27, ""stoch_d_period"": 3, ""stoch_k_period"": 19, ""stoch_threshold"": 52, ""atr_stoploss_multiplier"": 3.811, ""stoch_overbought"": 82, ""stoch_oversold"": 22}, ""minimal_roi"": {""0"": 0.199, ""430"": 0.14, ""596"": 0.03, ""1802"": 0}, ""stoploss"": -0.083, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240922-20241221,20241221-20250120,1.33,"{""params"": {""adx_period"": 19, ""adx_threshold"": 27, ""atr_period"": 18, ""bb_period"": 15, ""bb_std"": 2.222, ""macd_fast"": 14, ""macd_signal"": 11, ""macd_slow"": 27, ""stoch_d_period"": 3, ""stoch_k_period"": 13, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 2.859, ""stoch_overbought"": 90, ""stoch_oversold"": 21}, ""minimal_roi"": {""0"": 0.346, ""149"": 0.145, ""717"": 0.054, ""1563"": 0}, ""stoploss"": -0.158, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20241022-20250120,20250120-20250219,1.24,"{""params"": {""adx_period"": 19, ""adx_threshold"": 26, ""atr_period"": 14, ""bb_period"": 15, ""bb_std"": 1.537, ""macd_fast"": 13, ""macd_signal"": 10, ""macd_slow"": 26, ""stoch_d_period"": 3, ""stoch_k_period"": 10, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 1.507, ""stoch_overbought"": 78, ""stoch_oversold"": 21}, ""minimal_roi"": {""0"": 0.512, ""121"": 0.177, ""425"": 0.029, ""709"": 0}, ""stoploss"": -0.198, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20241121-20250219,20250219-20250321,0.05,"{""params"": {""adx_period"": 10, ""adx_threshold"": 21, ""atr_period"": 12, ""bb_period"": 21, ""bb_std"": 2.042, ""macd_fast"": 8, ""macd_signal"": 8, ""macd_slow"": 25, ""stoch_d_period"": 5, ""stoch_k_period"": 11, ""stoch_threshold"": 49, ""atr_stoploss_multiplier"": 2.974, ""stoch_overbought"": 76, ""stoch_oversold"": 15}, ""minimal_roi"": {""0"": 0.237, ""196"": 0.208, ""688"": 0.057, ""1103"": 0}, ""stoploss"": -0.216, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20241221-20250321,20250321-20250420,1.09,"{""params"": {""adx_period"": 18, ""adx_threshold"": 29, ""atr_period"": 10, ""bb_period"": 21, ""bb_std"": 2.212, ""macd_fast"": 10, ""macd_signal"": 7, ""macd_slow"": 27, ""stoch_d_period"": 4, ""stoch_k_period"": 17, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 2.43, ""stoch_overbought"": 81, ""stoch_oversold"": 18}, ""minimal_roi"": {""0"": 0.416, ""122"": 0.111, ""279"": 0.029, ""1535"": 0}, ""stoploss"": -0.203, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20250120-20250420,20250420-20250520,0.68,"{""params"": {""adx_period"": 15, ""adx_threshold"": 30, ""atr_period"": 14, ""bb_period"": 21, ""bb_std"": 2.437, ""macd_fast"": 10, ""macd_signal"": 9, ""macd_slow"": 22, ""stoch_d_period"": 5, ""stoch_k_period"": 19, ""stoch_threshold"": 48, ""atr_stoploss_multiplier"": 2.263, ""stoch_overbought"": 85, ""stoch_oversold"": 17}, ""minimal_roi"": {""0"": 0.308, ""294"": 0.224, ""534"": 0.079, ""1041"": 0}, ""stoploss"": -0.148, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20250219-20250520,20250520-20250619,0.57,"{""params"": {""adx_period"": 19, ""adx_threshold"": 29, ""atr_period"": 15, ""bb_period"": 20, ""bb_std"": 1.943, ""macd_fast"": 16, ""macd_signal"": 10, ""macd_slow"": 30, ""stoch_d_period"": 4, ""stoch_k_period"": 18, ""stoch_threshold"": 51, ""atr_stoploss_multiplier"": 2.644, ""stoch_overbought"": 80, ""stoch_oversold"": 25}, ""minimal_roi"": {""0"": 0.385, ""148"": 0.187, ""507"": 0.03, ""1800"": 0}, ""stoploss"": -0.2, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20250321-20250619,20250619-20250719,,"{""params"": {""adx_period"": 20, ""adx_threshold"": 28, ""atr_period"": 20, ""bb_period"": 22, ""bb_std"": 1.503, ""macd_fast"": 11, ""macd_signal"": 9, ""macd_slow"": 26, ""stoch_d_period"": 6, ""stoch_k_period"": 14, ""stoch_threshold"": 48, ""atr_stoploss_multiplier"": 2.738, ""stoch_overbought"": 86, ""stoch_oversold"": 16}, ""minimal_roi"": {""0"": 0.212, ""221"": 0.121, ""920"": 0.075, ""1905"": 0}, ""stoploss"": -0.231, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20250420-20250719,20250719-20250818,0.59,"{""params"": {""adx_period"": 20, ""adx_threshold"": 26, ""atr_period"": 15, ""bb_period"": 20, ""bb_std"": 2.403, ""macd_fast"": 12, ""macd_signal"": 10, ""macd_slow"": 29, ""stoch_d_period"": 6, ""stoch_k_period"": 15, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 2.735, ""stoch_overbought"": 90, ""stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.596, ""156"": 0.174, ""281"": 0.054, ""536"": 0}, ""stoploss"": -0.215, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20250520-20250818,20250818-20250917,1.42,"{""params"": {""adx_period"": 10, ""adx_threshold"": 20, ""atr_period"": 13, ""bb_period"": 21, ""bb_std"": 2.116, ""macd_fast"": 12, ""macd_signal"": 7, ""macd_slow"": 23, ""stoch_d_period"": 6, ""stoch_k_period"": 11, ""stoch_threshold"": 51, ""atr_stoploss_multiplier"": 1.555, ""stoch_overbought"": 87, ""stoch_oversold"": 19}, ""minimal_roi"": {""0"": 0.364, ""162"": 0.22, ""628"": 0.089, ""1908"": 0}, ""stoploss"": -0.178, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
