train_range,test_range,test_total_profit_pct,best_params
20240823-20241121,20241121-20241221,0.86,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 35, ""atr_period"": 10, ""bb_period"": 16, ""bb_std"": 2.25, ""rsi_overbought"": 75, ""rsi_oversold"": 27, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.045, ""rsi_exit"": 70, ""rsi_exit_short"": 41}, ""minimal_roi"": {""0"": 0.588, ""155"": 0.142, ""743"": 0.086, ""1488"": 0}, ""stoploss"": -0.087, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20240922-20241221,20241221-20250120,2.7,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 31, ""atr_period"": 20, ""bb_period"": 16, ""bb_std"": 2.147, ""rsi_overbought"": 74, ""rsi_oversold"": 42, ""rsi_period"": 19, ""atr_stoploss_multiplier"": 1.518, ""rsi_exit"": 65, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.325, ""122"": 0.086, ""507"": 0.039, ""1073"": 0}, ""stoploss"": -0.058, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20241022-20250120,20250120-20250219,4.67,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 30, ""atr_period"": 15, ""bb_period"": 16, ""bb_std"": 2.096, ""rsi_overbought"": 75, ""rsi_oversold"": 39, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 1.266, ""rsi_exit"": 66, ""rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.52, ""312"": 0.113, ""557"": 0.07, ""1445"": 0}, ""stoploss"": -0.216, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20241121-20250219,20250219-20250321,1.75,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 25, ""atr_period"": 13, ""bb_period"": 16, ""bb_std"": 1.699, ""rsi_overbought"": 70, ""rsi_oversold"": 40, ""rsi_period"": 10, ""atr_stoploss_multiplier"": 1.32, ""rsi_exit"": 64, ""rsi_exit_short"": 37}, ""minimal_roi"": {""0"": 0.614, ""357"": 0.215, ""904"": 0.09, ""2136"": 0}, ""stoploss"": -0.116, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20241221-20250321,20250321-20250420,2.05,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 22, ""atr_period"": 15, ""bb_period"": 22, ""bb_std"": 2.191, ""rsi_overbought"": 56, ""rsi_oversold"": 33, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 2.356, ""rsi_exit"": 58, ""rsi_exit_short"": 32}, ""minimal_roi"": {""0"": 0.562, ""372"": 0.167, ""788"": 0.038, ""1575"": 0}, ""stoploss"": -0.074, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250120-20250420,20250420-20250520,2.74,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 33, ""atr_period"": 12, ""bb_period"": 21, ""bb_std"": 2.114, ""rsi_overbought"": 66, ""rsi_oversold"": 34, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 2.706, ""rsi_exit"": 64, ""rsi_exit_short"": 45}, ""minimal_roi"": {""0"": 0.385, ""348"": 0.174, ""840"": 0.079, ""1230"": 0}, ""stoploss"": -0.257, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250219-20250520,20250520-20250619,5.82,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 20, ""atr_period"": 18, ""bb_period"": 22, ""bb_std"": 1.713, ""rsi_overbought"": 72, ""rsi_oversold"": 40, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.286, ""rsi_exit"": 59, ""rsi_exit_short"": 40}, ""minimal_roi"": {""0"": 0.57, ""182"": 0.18, ""784"": 0.039, ""2116"": 0}, ""stoploss"": -0.06, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250321-20250619,20250619-20250719,,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 22, ""atr_period"": 18, ""bb_period"": 23, ""bb_std"": 2.766, ""rsi_overbought"": 71, ""rsi_oversold"": 27, ""rsi_period"": 19, ""atr_stoploss_multiplier"": 1.693, ""rsi_exit"": 65, ""rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.531, ""216"": 0.138, ""482"": 0.037, ""1494"": 0}, ""stoploss"": -0.224, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250420-20250719,20250719-20250818,0.3,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 22, ""atr_period"": 20, ""bb_period"": 18, ""bb_std"": 2.913, ""rsi_overbought"": 74, ""rsi_oversold"": 38, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.279, ""rsi_exit"": 58, ""rsi_exit_short"": 38}, ""minimal_roi"": {""0"": 0.423, ""178"": 0.083, ""680"": 0.058, ""2092"": 0}, ""stoploss"": -0.327, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250520-20250818,20250818-20250917,2.09,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 34, ""atr_period"": 18, ""bb_period"": 16, ""bb_std"": 2.835, ""rsi_overbought"": 71, ""rsi_oversold"": 30, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 1.479, ""rsi_exit"": 64, ""rsi_exit_short"": 38}, ""minimal_roi"": {""0"": 0.548, ""243"": 0.181, ""455"": 0.058, ""1073"": 0}, ""stoploss"": -0.258, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250619-20250917,20250917-20251017,1.41,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 20, ""atr_period"": 12, ""bb_period"": 24, ""bb_std"": 2.51, ""rsi_overbought"": 60, ""rsi_oversold"": 28, ""rsi_period"": 19, ""atr_stoploss_multiplier"": 1.817, ""rsi_exit"": 61, ""rsi_exit_short"": 31}, ""minimal_roi"": {""0"": 0.509, ""283"": 0.09, ""940"": 0.067, ""1287"": 0}, ""stoploss"": -0.202, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250719-20251017,20251017-20251116,3.07,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 25, ""atr_period"": 14, ""bb_period"": 17, ""bb_std"": 1.957, ""rsi_overbought"": 68, ""rsi_oversold"": 29, ""rsi_period"": 19, ""atr_stoploss_multiplier"": 2.427, ""rsi_exit"": 62, ""rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.504, ""464"": 0.122, ""793"": 0.078, ""2032"": 0}, ""stoploss"": -0.291, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250818-20251116,20251116-20251216,3.37,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 27, ""atr_period"": 13, ""bb_period"": 17, ""bb_std"": 2.24, ""rsi_overbought"": 63, ""rsi_oversold"": 29, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 2.575, ""rsi_exit"": 55, ""rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.341, ""217"": 0.093, ""769"": 0.044, ""1379"": 0}, ""stoploss"": -0.305, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20250917-20251216,20251216-20260115,0.35,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 20, ""atr_period"": 17, ""bb_period"": 17, ""bb_std"": 1.538, ""rsi_overbought"": 67, ""rsi_oversold"": 27, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 2.971, ""rsi_exit"": 66, ""rsi_exit_short"": 43}, ""minimal_roi"": {""0"": 0.461, ""316"": 0.125, ""575"": 0.054, ""1852"": 0}, ""stoploss"": -0.055, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20251017-20260115,20260115-20260214,2.99,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 26, ""atr_period"": 17, ""bb_period"": 24, ""bb_std"": 2.761, ""rsi_overbought"": 56, ""rsi_oversold"": 27, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 2.435, ""rsi_exit"": 60, ""rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.525, ""355"": 0.17, ""588"": 0.074, ""744"": 0}, ""stoploss"": -0.116, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20251116-20260214,20260214-20260316,1.03,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 20, ""atr_period"": 16, ""bb_period"": 16, ""bb_std"": 1.707, ""rsi_overbought"": 75, ""rsi_oversold"": 36, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 1.382, ""rsi_exit"": 68, ""rsi_exit_short"": 42}, ""minimal_roi"": {""0"": 0.271, ""293"": 0.146, ""764"": 0.053, ""915"": 0}, ""stoploss"": -0.023, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20251216-20260316,20260316-20260415,2.18,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 31, ""atr_period"": 12, ""bb_period"": 23, ""bb_std"": 1.215, ""rsi_overbought"": 68, ""rsi_oversold"": 35, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 2.838, ""rsi_exit"": 59, ""rsi_exit_short"": 31}, ""minimal_roi"": {""0"": 0.28, ""324"": 0.154, ""947"": 0.085, ""2211"": 0}, ""stoploss"": -0.146, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20260115-20260415,20260415-20260515,0.82,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 35, ""atr_period"": 18, ""bb_period"": 21, ""bb_std"": 1.746, ""rsi_overbought"": 66, ""rsi_oversold"": 39, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.254, ""rsi_exit"": 56, ""rsi_exit_short"": 38}, ""minimal_roi"": {""0"": 0.398, ""442"": 0.167, ""993"": 0.089, ""1374"": 0}, ""stoploss"": -0.091, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20260214-20260515,20260515-20260614,1.17,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 23, ""atr_period"": 15, ""bb_period"": 21, ""bb_std"": 1.487, ""rsi_overbought"": 73, ""rsi_oversold"": 28, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.65, ""rsi_exit"": 66, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.47, ""438"": 0.117, ""925"": 0.086, ""1670"": 0}, ""stoploss"": -0.24, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20260316-20260614,20260614-20260714,1.97,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 29, ""atr_period"": 15, ""bb_period"": 25, ""bb_std"": 1.247, ""rsi_overbought"": 64, ""rsi_oversold"": 35, ""rsi_period"": 19, ""atr_stoploss_multiplier"": 2.86, ""rsi_exit"": 62, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.112, ""347"": 0.086, ""816"": 0.055, ""2208"": 0}, ""stoploss"": -0.288, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20260415-20260714,20260714-20260813,1.62,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 18, ""atr_period"": 20, ""bb_period"": 21, ""bb_std"": 1.565, ""rsi_overbought"": 67, ""rsi_oversold"": 35, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 1.637, ""rsi_exit"": 70, ""rsi_exit_short"": 38}, ""minimal_roi"": {""0"": 0.314, ""468"": 0.207, ""809"": 0.09, ""1734"": 0}, ""stoploss"": -0.279, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
